image_name,caption
IMG_1312.jpg, Mike and Greg testing solar panel performance on a cloudy day.  Spoiler:  not great!
IMG_1316.jpg, Some of the assorted motors, panels, and other widgets we had on-hand.
IMG_1320.jpg, Circuit diagram for an inexpensive voltage and current monitor.  Turns out the manufacturer's diagram was mislabeled!
IMG_1336.jpg, A picnic feast of electronics.
IMG_1341.jpg, We connected a 24V greenhouse roll-up connected to a deep cycle battery, added a pipe as a winch, and ran a pulley over a rafter, to make an 'elevator'.
IMG_1349.jpg, Some of the portable 'testing, crimping, and connecting' kit for small-scale solar that Greg is developing.
